SPN, Value Date, Formula, Base Rate, Rate, IBB Type, IBB, Accrued Interest, Version, Call Type
EE505AC,12-21-2013,A,1.25,0.75,OTE,-750.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
ES456ACM,12-21-2013,B,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
ES802ACM,12-21-2013,C,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
ES807AC,12-21-2013,D,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
ES991ACM,12-21-2013,E,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30003ACM,12-21-2013,F,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30026ACM,12-21-2013,A,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30044ACM,12-21-2013,B,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30067AC,12-21-2013,C,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30083ACM,12-21-2013,D,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30160AC,12-21-2013,E,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30178AC,12-21-2013,F,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30179AC,12-21-2013,A,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30208ACM,12-21-2013,B,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30220ACM,12-21-2013,C,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30274AC,12-21-2013,D,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30281AC,12-21-2013,E,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30284AC,12-21-2013,F,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30299AC,12-21-2013,A,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30316AC,12-21-2013,B,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30317ACM,12-21-2013,C,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30319ACM,12-21-2013,D,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30321ACA,12-21-2013,E,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30322AC,12-21-2013,F,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30421ACM,12-21-2013,A,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30441ACM,12-21-2013,B,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30464ACM,12-21-2013,C,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30468ACM,12-21-2013,D,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30469ACM,12-21-2013,E,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30473ACM,12-21-2013,F,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30477AC,12-21-2013,A,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30481ACM,12-21-2013,B,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30483AC,12-21-2013,C,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30493AC,12-21-2013,D,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30494AC,12-21-2013,E,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30496AC,12-21-2013,F,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30532AC,12-21-2013,A,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30536AC,12-21-2013,B,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30543AC,12-21-2013,C,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30552AC,12-21-2013,D,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30559AC,12-21-2013,E,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30574ACM,12-21-2013,F,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30575ACM,12-21-2013,A,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30580ACM,12-21-2013,B,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30581ACM,12-21-2013,C,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30582ACM,12-21-2013,D,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30583ACM,12-21-2013,E,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30591ACM,12-21-2013,F,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30601AC,12-21-2013,A,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30606AC,12-21-2013,B,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30608AC,12-21-2013,C,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30614ACA,12-21-2013,D,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30619AC,12-21-2013,E,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30621AC,12-21-2013,F,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30622AC,12-21-2013,A,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30624AC,12-21-2013,B,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
30629ACM,12-21-2013,C,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
