SPN, Date, Formula, Base Rate, Rate, IBB, Accrued Interest, Version, Call Type
EE505AC ,12/17/13,A,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
ES456ACM,12/17/13,B,1.25,1.0,130771.63,980.79,2013-12-17 19:14:29.204475,*ALL
ES802ACM,12/17/13,C,1.25,1.0,-3.86,0.0,2013-12-17 19:14:29.204475,*ALL
ES807AC ,12/17/13,D,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
ES991ACM,12/17/13,E,1.25,1.0,-482370.0,0.0,2013-12-17 19:14:29.204475,*ALL
30003ACM,12/17/13,F,1.25,1.0,20825.98,197.85,2013-12-17 19:14:29.204475,*ALL
30026ACM,12/17/13,A,1.25,1.0,-17665.9,0.0,2013-12-17 19:14:29.204475,*ALL
30044ACM,12/17/13,B,1.25,1.0,76118.48,761.18,2013-12-17 19:14:29.204475,*ALL
30067AC ,12/17/13,C,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30083ACM,12/17/13,D,1.25,1.0,111037.0,1165.89,2013-12-17 19:14:29.204475,*ALL
30160AC ,12/17/13,E,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30178AC ,12/17/13,F,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30179AC ,12/17/13,A,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30208ACM,12/17/13,B,1.25,1.0,386365.29,4443.2,2013-12-17 19:14:29.204475,*ALL
30220ACM,12/17/13,C,1.25,1.0,-1622.0,0.0,2013-12-17 19:14:29.204475,*ALL
30274AC ,12/17/13,D,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30281AC ,12/17/13,E,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30284AC ,12/17/13,F,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30299AC ,12/17/13,A,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30316AC ,12/17/13,B,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30317ACM,12/17/13,C,1.25,1.0,227583.79,2162.05,2013-12-17 19:14:29.204475,*ALL
30319ACM,12/17/13,D,1.25,1.0,2325425.0,17440.69,2013-12-17 19:14:29.204475,*ALL
30321ACA,12/17/13,E,1.25,1.0,4882345.92,48823.46,2013-12-17 19:14:29.204475,*ALL
30322AC ,12/17/13,F,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30421ACM,12/17/13,A,1.25,1.0,-471325.0,0.0,2013-12-17 19:14:29.204475,*ALL
30441ACM,12/17/13,B,1.25,1.0,549245.22,5217.83,2013-12-17 19:14:29.204475,*ALL
30464ACM,12/17/13,C,1.25,1.0,381843.85,2863.83,2013-12-17 19:14:29.204475,*ALL
30468ACM,12/17/13,D,1.25,1.0,2371175.0,23711.75,2013-12-17 19:14:29.204475,*ALL
30469ACM,12/17/13,E,1.25,1.0,165202.8,1899.83,2013-12-17 19:14:29.204475,*ALL
30473ACM,12/17/13,F,1.25,1.0,-2929.65,0.0,2013-12-17 19:14:29.204475,*ALL
30477AC ,12/17/13,A,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30481ACM,12/17/13,B,1.25,1.0,-1094.1,0.0,2013-12-17 19:14:29.204475,*ALL
30483AC ,12/17/13,C,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30493AC ,12/17/13,D,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30494AC ,12/17/13,E,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30496AC ,12/17/13,F,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30532AC ,12/17/13,A,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30536AC ,12/17/13,B,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30543AC ,12/17/13,C,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30552AC ,12/17/13,D,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30559AC ,12/17/13,E,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30574ACM,12/17/13,F,1.25,1.0,13750.85,103.13,2013-12-17 19:14:29.204475,*ALL
30575ACM,12/17/13,A,1.25,1.0,-7137.5,0.0,2013-12-17 19:14:29.204475,*ALL
30580ACM,12/17/13,B,1.25,1.0,193058.43,2220.17,2013-12-17 19:14:29.204475,*ALL
30581ACM,12/17/13,C,1.25,1.0,78764.12,827.02,2013-12-17 19:14:29.204475,*ALL
30582ACM,12/17/13,D,1.25,1.0,87750.0,833.63,2013-12-17 19:14:29.204475,*ALL
30583ACM,12/17/13,E,1.25,1.0,872974.5,6547.31,2013-12-17 19:14:29.204475,*ALL
30591ACM,12/17/13,F,1.25,1.0,423924.5,4239.24,2013-12-17 19:14:29.204475,*ALL
30601AC ,12/17/13,A,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30606AC ,12/17/13,B,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30608AC ,12/17/13,C,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30614ACA,12/17/13,D,1.25,1.0,32247375.0,241855.31,2013-12-17 19:14:29.204475,*ALL
30619AC ,12/17/13,E,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30621AC ,12/17/13,F,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30622AC ,12/17/13,A,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30624AC ,12/17/13,B,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
30629ACM,12/17/13,C,1.25,1.0,581399.99,4360.5,2013-12-17 19:14:29.204475,*ALL
30631ACM,12/17/13,D,1.25,1.0,20650.0,206.5,2013-12-17 19:14:29.204475,*ALL
30651ACM,12/17/13,E,1.25,1.0,170738.13,1963.49,2013-12-17 19:14:29.204475,*ALL
