"EE505AC ","12-20-2013","USD",-1000,0,-1000,12750,-13750,,
"EE505AC ","12-21-2013","GBP",-1000,0,-1000,12750,-13750,,
"EE505AC ","12-20-2013","GBP",-1000,0,-1000,12750,-13750,,
"ES456ACM","12-20-2013","GBP",25228.83,156000.46,130771.63,557675,-426903.37,,
"ES802ACM","12-20-2013","USD",120,-3.86,116.14,581750,-581633.86,,
"ES807AC ","12-20-2013","GBP",935,-1.66,933.34,215800,-214866.66,,
"ES991ACM","12-20-2013","USD",186980,0,186980,669350,-482370,,
"30003ACM","12-20-2013","GBP",4395,25501.98,29896.98,13466,16430.98,,
"30026ACM","12-20-2013","USD",-17665.9,38534.72,20868.82,20650,218.82,,
"30044ACM","12-20-2013","GBP",-5575,81693.48,76118.48,2250,73868.48,,
"30067AC ","12-20-2013","USD",-220560,568230,347670,254400,93270,,
"30083ACM","12-20-2013","GBP",-18117.09,294722.63,276605.54,111037,165568.54,,
"30160AC ","12-20-2013","USD",75722.5,125562.5,201285,202300,-1015,,
"30178AC ","12-20-2013","GBP",3902.5,68562.5,72465,72700,-235,,
"30179AC ","12-20-2013","USD",59797.5,86737.5,146535,147300,-765,,
"30208ACM","12-20-2013","GBP",-300661.7,687026.99,386365.29,384700,1665.29,,
"30220ACM","12-20-2013","USD",54062,-1622,52440,53200,-760,,
"30274AC ","12-20-2013","GBP",1383575,22128252.51,23511827.51,2703375,20808452.51,,
"30281AC ","12-20-2013","USD",-127600,1114905,987305,957000,30305,,
"30284AC ","12-20-2013","GBP",-50225,213200,162975,172200,-9225,,
"30299AC ","12-20-2013","USD",281005,1322010,1603015,1555500,47515,,
"30316AC ","12-20-2013","GBP",-1946050,-1385232.16,-3331282.16,1977900,-5309182.16,,
"30317ACM","12-20-2013","USD",456103.74,227583.79,683687.53,609925,73762.53,,
"30319ACM","12-20-2013","GBP",198123.08,3677039.92,3875163,2325425,1549738,,
"30321ACA","12-20-2013","USD",2892581.25,4496114.67,7388695.92,2506350,4882345.92,,
"30322AC ","12-20-2013","GBP",-891675,248761.5,-642913.5,1829137.5,-2472051,,
"30421ACM","12-20-2013","USD",-471325,-406838.49,-878163.49,283500,-1161663.49,,
"30441ACM","12-20-2013","GBP",657366.84,-108121.62,549245.22,582200,-32954.78,,
"30464ACM","12-20-2013","USD",24249.71,381843.85,406093.56,427488,-21394.44,,
"30468ACM","12-20-2013","GBP",2019450.75,1059283.6,3078734.35,2371175,707559.35,,
"30469ACM","12-20-2013","USD",-14405.28,228683.08,214277.8,49075,165202.8,,
"30473ACM","12-20-2013","GBP",-3007.8,10460.95,7453.15,7375,78.15,,
"30477AC ","12-20-2013","USD",2070080,2686502.79,4756582.79,1609000,3147582.79,,
"30481ACM","12-20-2013","GBP",95015.29,-96109.39,-1094.1,103250,-104344.1,,
"30483AC ","12-20-2013","USD",220410,23501.65,243911.65,1143900,-899988.35,,
"30493AC ","12-20-2013","GBP",-261725,-110.89,-261835.89,594500,-856335.89,,
"30494AC ","12-20-2013","USD",-613700,-13236.61,-626936.61,1394000,-2020936.61,,
"30496AC ","12-20-2013","GBP",-81225,-33.94,-81258.94,184500,-265758.94,,
"30532AC ","12-20-2013","USD",-54730,-84391.25,-139121.25,106600,-245721.25,,
"30536AC ","12-20-2013","GBP",131140,247316.51,378456.51,680600,-302143.49,,
