"30003ACM","A","USD",0.20
"30003ACM","B","GBP",0.40
"30026ACM","B","USD",0.75
"30026ACM","A","GBP",0.10
"30044ACM","C","USD",0.20
"30044ACM","D","GBP",0.40
"30067AC ","F","USD",0.75
"30067AC ","E","GBP",0.10
"30083ACM","A","USD",0.20
"30083ACM","B","GBP",0.40
"30160AC ","B","USD",0.75
"30160AC ","A","GBP",0.10
"30178AC ","C","USD",0.20
"30178AC ","D","GBP",0.40
"30179AC ","F","USD",0.75
"30179AC ","E","GBP",0.10
"30208ACM","A","USD",0.20
"30208ACM","B","GBP",0.40
"30220ACM","B","USD",0.75
"30220ACM","A","GBP",0.10
"30274AC ","C","USD",0.20
"30274AC ","D","GBP",0.40
"30281AC ","F","USD",0.75
"30281AC ","E","GBP",0.10
"30284AC ","A","USD",0.20
"30284AC ","B","GBP",0.40
"30299AC ","B","USD",0.75
"30299AC ","A","GBP",0.10
"30316AC ","C","USD",0.20
"30316AC ","D","GBP",0.40
"30317ACM","F","USD",0.75
"30317ACM","E","GBP",0.10
"30319ACM","A","USD",0.20
"30319ACM","B","GBP",0.40
"30321ACA","B","USD",0.75
"30321ACA","A","GBP",0.10
"30322AC ","C","USD",0.20
"30322AC ","D","GBP",0.40
"30421ACM","F","USD",0.75
"30421ACM","E","GBP",0.10
"30441ACM","A","USD",0.20
"30441ACM","B","GBP",0.40
"30464ACM","B","USD",0.75
"30464ACM","A","GBP",0.10
"30468ACM","C","USD",0.20
"30468ACM","D","GBP",0.40
"30469ACM","F","USD",0.75
"30469ACM","E","GBP",0.10
"30473ACM","A","USD",0.20
"30473ACM","B","GBP",0.40
"30477AC ","B","USD",0.75
"30477AC ","A","GBP",0.10
"30481ACM","C","USD",0.20
"30481ACM","D","GBP",0.40
"30483AC ","F","USD",0.75
"30483AC ","E","GBP",0.10
"30493AC ","A","USD",0.20
"30493AC ","B","GBP",0.40
"30494AC ","B","USD",0.75
"30494AC ","A","GBP",0.10
"30496AC ","C","USD",0.20
"30496AC ","D","GBP",0.40
"30532AC ","F","USD",0.75
"30532AC ","E","GBP",0.10
"30536AC ","A","USD",0.20
"30536AC ","B","GBP",0.40
"30543AC ","B","USD",0.75
"30543AC ","A","GBP",0.10
"30552AC ","C","USD",0.20
"30552AC ","D","GBP",0.40
"30559AC ","F","USD",0.75
"30559AC ","E","GBP",0.10
"30574ACM","A","USD",0.20
"30574ACM","B","GBP",0.40
"30575ACM","B","USD",0.75
"30575ACM","A","GBP",0.10
"30580ACM","C","USD",0.20
"30580ACM","D","GBP",0.40
"30581ACM","F","USD",0.75
"30581ACM","E","GBP",0.10
"30582ACM","A","USD",0.20
"30582ACM","B","GBP",0.40
"30583ACM","B","USD",0.75
"30583ACM","A","GBP",0.10
"30591ACM","C","USD",0.20
"30591ACM","D","GBP",0.40
"30601AC ","F","USD",0.75
"30601AC ","E","GBP",0.10
"30606AC ","A","USD",0.20
"30606AC ","B","GBP",0.40
"30608AC ","B","USD",0.75
"30608AC ","A","GBP",0.10
"30614ACA","C","USD",0.20
"30614ACA","D","GBP",0.40
"30619AC ","F","USD",0.75
"30619AC ","E","GBP",0.10
"30621AC ","A","USD",0.20
"30621AC ","B","GBP",0.40
"30622AC ","B","USD",0.75
"30622AC ","A","GBP",0.10
"30624AC ","C","USD",0.20
"30624AC ","D","GBP",0.40
"30629ACM","F","USD",0.75
"30629ACM","E","GBP",0.10
"30631ACM","A","USD",0.20
"30631ACM","B","GBP",0.40
"30651ACM","B","USD",0.75
"30651ACM","A","GBP",0.10
"30653ACM","C","USD",0.20
"30653ACM","D","GBP",0.40
"30658ACM","F","USD",0.75
"30658ACM","E","GBP",0.10
"30659ACM","A","USD",0.20
"30659ACM","B","GBP",0.40
"30676AC ","B","USD",0.75
"30676AC ","A","GBP",0.10
"30677AC ","C","USD",0.20
"30677AC ","D","GBP",0.40
"30678AC ","F","USD",0.75
"30678AC ","E","GBP",0.10
"30679AC ","A","USD",0.20
"30679AC ","B","GBP",0.40
"30682AC ","B","USD",0.75
"30682AC ","A","GBP",0.10
"30702AC ","C","USD",0.20
"30702AC ","D","GBP",0.40
"30703AC ","F","USD",0.75
"30703AC ","E","GBP",0.10
"30704AC ","A","USD",0.20
"30704AC ","B","GBP",0.40
"30706AC ","B","USD",0.75
"30706AC ","A","GBP",0.10
"30813AC ","C","USD",0.20
"30813AC ","D","GBP",0.40
"30993AC ","F","USD",0.75
"30993AC ","E","GBP",0.10
"31004AC ","A","USD",0.20
"31004AC ","B","GBP",0.40
"31007AC ","B","USD",0.75
"31007AC ","A","GBP",0.10
"31008AC ","C","USD",0.20
"31008AC ","D","GBP",0.40
"31009AC ","F","USD",0.75
"31009AC ","E","GBP",0.10
"31026AC ","A","USD",0.20
"31026AC ","B","GBP",0.40
"31031AC ","B","USD",0.75
"31031AC ","A","GBP",0.10
"31061ACM","C","USD",0.20
"31061ACM","D","GBP",0.40
"31065ACM","F","USD",0.75
"31065ACM","E","GBP",0.10
"31109AC ","A","USD",0.20
"31109AC ","B","GBP",0.40
"31159AC ","B","USD",0.75
"31159AC ","A","GBP",0.10
"31161ACM","C","USD",0.20
"31161ACM","D","GBP",0.40
"31208ACM","F","USD",0.75
"31208ACM","E","GBP",0.10
"31223ACM","A","USD",0.20
"31223ACM","B","GBP",0.40
"31225ACM","B","USD",0.75
"31225ACM","A","GBP",0.10
"31230ACM","C","USD",0.20
"31230ACM","D","GBP",0.40
"31234ACM","F","USD",0.75
"31234ACM","E","GBP",0.10
"31235ACM","A","USD",0.20
"31235ACM","B","GBP",0.40
"31236ACM","B","USD",0.75
"31236ACM","A","GBP",0.10
"31238ACM","C","USD",0.20
"31238ACM","D","GBP",0.40
"31239ACM","F","USD",0.75
"31239ACM","E","GBP",0.10
"31251ACM","A","USD",0.20
"31251ACM","B","GBP",0.40
"31252ACM","B","USD",0.75
"31252ACM","A","GBP",0.10
"31453ACM","C","USD",0.20
"31453ACM","D","GBP",0.40
"31456AC ","F","USD",0.75
"31456AC ","E","GBP",0.10
"31462ACM","A","USD",0.20
"31462ACM","B","GBP",0.40
"31468ACM","B","USD",0.75
